M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11
M,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13
M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
M,0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10
I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11
M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12
I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11
I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
M,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11
I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8
F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
F,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,14
M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
M,0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,9
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9
I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9
M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
